align-est-C01	align-est-D5
TR34488_c0_g2_i3	-2.66308753299377	2.66308753299377
TR32890_c1_g2_i8	-1.06595933943128	1.06595933943128
TR33384_c0_g2_i12	-2.41169635893969	2.41169635893969
TR39433_c1_g3_i2	-2.912396653127	2.912396653127
TR32355_c0_g1_i2	3.51251993582647	-3.51251993582647
TR39433_c1_g3_i3	3.7753842399412	-3.7753842399412
TR38937_c1_g1_i7	5.01276704933819	-5.01276704933819
TR31878_c0_g2_i2	2.6697290532821	-2.6697290532821
TR41633_c0_g1_i4	2.35348626042348	-2.35348626042348
TR3857_c0_g1_i1	-4.38176061408917	4.38176061408917
TR7740_c0_g1_i1	-3.81963417297884	3.81963417297884
TR31679_c0_g1_i2	-2.31715142083126	2.31715142083126
TR8485_c0_g1_i1	2.89269680740457	-2.89269680740457
TR29801_c3_g1_i5	-3.4711868738686	3.4711868738686
TR39467_c3_g8_i6	-5.03938977783698	5.03938977783698
TR34956_c0_g2_i1	2.28167060095693	-2.28167060095693
TR33945_c2_g1_i4	-3.15589685887682	3.15589685887682
TR35146_c1_g1_i2	-2.48721876753551	2.48721876753551
TR32319_c2_g1_i2	-4.35914246593436	4.35914246593436
TR41994_c1_g1_i3	-2.77109806509803	2.77109806509803
TR39394_c3_g2_i3	1.4436651493891	-1.4436651493891
TR31137_c4_g2_i1	-2.51147238782999	2.51147238782999
TR37552_c1_g1_i1	2.0705119956105	-2.0705119956105
TR33880_c5_g1_i1	-3.29462707005604	3.29462707005604
TR28637_c0_g1_i1	-2.10281355195359	2.10281355195359
TR28414_c0_g1_i3	-2.89637562902797	2.89637562902797
TR34316_c7_g2_i2	2.30797295509879	-2.30797295509879
TR40796_c0_g2_i2	-1.32836258501062	1.32836258501062
TR1447_c0_g2_i1	-2.79417742688961	2.79417742688961
TR37220_c5_g2_i2	3.33395835393756	-3.33395835393756
TR39180_c7_g1_i3	2.18769351341444	-2.18769351341444
TR36400_c1_g2_i3	4.42483390586674	-4.42483390586674
TR37005_c2_g2_i4	-2.19302607985315	2.19302607985315
TR28726_c2_g1_i3	2.15221901453991	-2.15221901453991
TR38568_c3_g1_i3	3.89165956801204	-3.89165956801204
TR38937_c1_g1_i6	-4.63275917949395	4.63275917949395
TR40253_c2_g2_i2	-4.6430498029103	4.6430498029103
TR38937_c1_g3_i2	2.53345360172721	-2.53345360172721
TR23157_c0_g2_i1	-2.8832352237138	2.8832352237138
TR35851_c4_g2_i1	3.42151454951624	-3.42151454951624
TR40253_c2_g1_i1	3.16156792315438	-3.16156792315438
TR37016_c2_g1_i6	-2.13984707292151	2.13984707292151
TR37220_c5_g1_i1	2.90740337154655	-2.90740337154655
TR39432_c2_g2_i2	3.77953742248322	-3.77953742248322
TR38353_c3_g1_i3	-1.93685739234979	1.93685739234979
TR2108_c0_g3_i1	-2.19437030239363	2.19437030239363
TR35851_c4_g1_i1	-3.26883839422403	3.26883839422403
TR29606_c0_g1_i2	1.59987542835792	-1.59987542835792
TR39737_c0_g2_i1	2.25383390214507	-2.25383390214507
TR36006_c1_g1_i1	-5.44403899709685	5.44403899709685
TR37849_c1_g2_i2	-1.7170138373318	1.7170138373318
TR31510_c1_g1_i3	2.0249896013539	-2.0249896013539
TR37436_c0_g1_i1	2.61644547785879	-2.61644547785879
TR32591_c2_g7_i3	-3.95249239473247	3.95249239473247
TR35066_c0_g1_i2	4.00152561351778	-4.00152561351778
TR23345_c0_g5_i1	-4.80364530513541	4.80364530513541
TR36006_c1_g9_i1	-3.99255844906904	3.99255844906904
TR36538_c6_g2_i1	-3.50849663285854	3.50849663285854
TR5271_c0_g3_i1	-4.02839346897398	4.02839346897398
TR598_c0_g1_i1	-3.36131497888758	3.36131497888758
TR36183_c6_g4_i2	-3.19261196845847	3.19261196845847
TR36006_c1_g6_i7	-4.92234503716581	4.92234503716581
TR38360_c0_g1_i3	-3.80048648623626	3.80048648623626
TR35546_c0_g1_i2	2.47275703364354	-2.47275703364354
TR39467_c3_g2_i5	-3.35754137875838	3.35754137875838
TR32319_c2_g1_i4	-2.50370989178596	2.50370989178596
TR29568_c2_g1_i2	-3.26304223291286	3.26304223291286
