align-est-C01	align-est-D1	align-est-D2	align-est-D5
TR35546_c0_g1_i2	5.01457846492289	0.421155960662223	3.65214227213666	0
TR39321_c0_g1_i6	0	4.10408500501149	0	0.471967787661516
TR33901_c1_g2_i2	6.56648031250986	6.2241367697494	0	1.15962918582123
TR28637_c0_g1_i1	0	0	3.079122064434	4.37490036970135
TR23157_c0_g2_i1	0.0299828662157143	4.57482812358744	4.39396527566024	5.97046256473419
TR32355_c0_g1_i1	3.90737141382356	0.0813396274519388	0.0214797274104514	4.52193016090923
TR29550_c0_g1_i1	0.0989584800881688	7.3247926056156	1.29572302453997	0
TR33384_c0_g2_i15	0	5.78939018341555	0	0
TR27069_c0_g1_i2	0	0	3.36960607003184	0
TR30355_c2_g1_i1	0	4.30487605004489	2.5197934862411	3.10852445677817
TR41203_c0_g1_i3	0.0328061450832415	4.49614273792787	4.50887229544116	1.62993940943954
TR36201_c4_g3_i9	0.018634174139051	4.2979983955831	0.658097205351371	0
TR37869_c3_g2_i5	0	5.02883432911892	0.573374526445944	0.88596475675397
TR35851_c4_g1_i1	0.214124805352847	8.27876537616561	1.46988597627446	6.91869630422396
TR35146_c2_g1_i9	0	0.524063675777211	5.0945316737892	0
TR39297_c3_g1_i5	1.34426039498542	0.35501626421955	0	0
TR33588_c1_g1_i1	0.205392512989685	4.36359162661672	4.26228280642066	0
TR35851_c4_g2_i1	6.9137630694245	1.26423615104355	2.3912178076029	0
TR38547_c0_g1_i6	0	1.75659635050171	3.39766607728144	0.367371065648529
TR37921_c0_g1_i2	5.31527638701493	0	0	2.39780296186249
TR39321_c0_g1_i1	2.78743246451687	2.30305008468167	3.94962830831499	0
TR37552_c1_g1_i4	2.97581358360401	4.50252155647673	3.18887562547096	0
TR35146_c1_g1_i2	0	3.78020509558317	5.10994554306482	5.14755092670304
TR37314_c6_g1_i2	0.0328061450832415	7.13494990809567	4.89733724749631	3.92514493823326
TR33685_c0_g2_i1	0	3.58916423669977	2.05415387176271	1.14665522211947
TR41739_c1_g2_i7	3.3743439890385	3.00827173796354	0	2.93715603846619
TR38256_c1_g1_i4	3.33499724490688	0.463622456851893	0.00863030514344006	0.0607391578576785
TR10256_c0_g1_i1	0	0.063502942306158	6.05599818177957	0
TR31158_c0_g1_i2	0	0	3.24823120674876	0
TR36168_c4_g2_i5	0	4.3397787569259	1.21785109681113	2.11869195279181
TR8485_c0_g1_i1	5.8554665258739	4.64973041026389	0.370722275148167	0
TR34930_c3_g2_i1	0	0.360645202460216	4.60667910442159	0
TR43176_c1_g3_i1	0	0.745022149037265	2.39862399671775	0
TR41072_c0_g4_i1	0	0	6.42903006419738	0
TR36006_c1_g6_i7	0	8.14503033879325	7.94392132655349	10.022957255475
TR31510_c1_g1_i1	2.37211631819884	0.0690146779151805	0	0
TR31510_c1_g1_i3	4.11711319348224	0.154453592679872	0	0
TR41203_c0_g1_i5	2.71017274827966	0.289244285156642	0	0
TR38572_c1_g1_i1	1.02998286621571	4.15558734129687	0.158337027167101	0
TR35225_c3_g2_i3	0	3.39643353125099	0	0
TR36424_c5_g1_i7	0.111031312388744	0.0731347046302154	7.12255883914707	0.197865391353738
TR43133_c1_g1_i2	2.05484847699562	0	2.60217179075338	0.899948986189672
TR31822_c1_g1_i1	2.07690108755726	6.3743613791825	1.42545930476536	0
TR39783_c3_g1_i2	0	1.36737106564853	2.3533232911629	0
TR36449_c2_g1_i2	1.66584752125555	7.1097470930511	2.89994898618967	0
TR36061_c0_g1_i7	0.604071323668861	0.00719550140420377	5.67236876458601	3.96781417057509
TR41633_c0_g1_i4	4.77563003229631	4.72049737048235	5.7108615236276	0
TR29677_c0_g2_i1	0	0.137503523749935	2.8413693545154	0.0813396274519388
TR37749_c4_g2_i2	4.74792441623844	0.571434115876509	0	0
TR29801_c3_g1_i5	0	7.62462001932439	6.98347249275751	7.11945993445933
TR42615_c0_g1_i5	3.34794906560173	0.0426443374084937	0	0
TR35146_c2_g1_i8	0	3.70752479089961	6.84748335598995	2.49134004687872
TR32796_c0_g1_i5	6.25667103181568	0.463622456851893	0	2.3007094716501
TR39783_c3_g1_i5	2.39889757120247	0	0	0
TR39467_c3_g2_i5	0.0731347046302154	7.07778775275901	1.20163386116965	6.96239863795633
TR33384_c0_g2_i12	0	6.14402596937291	5.06570154867168	4.99589149141913
TR31991_c1_g1_i4	0.214124805352847	0.0398402645317911	3.7992945749546	0
TR39524_c1_g1_i8	0.10701824988212	6.0641068150262	5.71171514862302	3.82313791929853
TR8848_c0_g2_i1	4.64541345964444	0.00144197417390632	0	0
TR41435_c3_g1_i8	0	3.87656605875172	5.30041662783687	0.244887059123534
TR40065_c1_g2_i3	3.44108503676099	0.724213686757358	0	0
TR36183_c6_g4_i2	0	0	0	6.56166217621044
TR32001_c1_g1_i2	4.76112567437469	0.54794331129035	0.0922074380970889	7.0427537609772
TR41878_c1_g2_i5	3.37114062951992	0.285698125958125	0.00144197417390632	0
TR21123_c0_g1_i1	0.0229004021100788	5.55906346865176	0.669026765509631	0
TR43012_c1_g1_i1	4.75328361646088	4.19770815795585	0.0214797274104514	3.39341620047154
TR38209_c3_g1_i5	3.95046841415012	0	0.650764559116902	3.44347404473432
TR26139_c2_g1_i1	2.89316802608885	4.21730827838519	0	6.69407228021209
