align-est-C01	align-est-D1	align-est-D2	align-est-D3	align-est-D4	align-est-D5
align-est-C01	1	0.306712555352702	0.182610112699795	-0.232460947035474	-0.0231121297805107	0.230502381280233
align-est-D1	0.306712555352702	1	0.419307611547228	-0.0775964718213732	0.178747153781395	0.427625608492686
align-est-D2	0.182610112699795	0.419307611547228	1	-0.135550212230926	0.0995317305857255	0.362696398864122
align-est-D3	-0.232460947035474	-0.0775964718213732	-0.135550212230926	1	0.609036106505673	-0.117471415901952
align-est-D4	-0.0231121297805107	0.178747153781395	0.0995317305857255	0.609036106505673	1	0.108134394559345
align-est-D5	0.230502381280233	0.427625608492686	0.362696398864122	-0.117471415901952	0.108134394559345	1
