clusters	colors
TR39900_c1_g4_i1	2	#00FFB3FF
TR41823_c0_g2_i2	2	#00FFB3FF
TR34186_c0_g1_i4	3	#00FFFFFF
TR39791_c2_g1_i8	3	#00FFFFFF
TR31956_c0_g1_i2	2	#00FFB3FF
TR38301_c5_g1_i2	2	#00FFB3FF
TR33538_c4_g1_i2	2	#00FFB3FF
TR42676_c0_g2_i1	2	#00FFB3FF
TR38763_c0_g2_i2	3	#00FFFFFF
TR33502_c0_g1_i2	11	#FF0099FF
TR28726_c2_g1_i3	3	#00FFFFFF
TR36615_c0_g2_i1	2	#00FFB3FF
TR34930_c3_g1_i2	7	#3300FFFF
TR35856_c1_g1_i2	2	#00FFB3FF
TR33756_c2_g6_i1	6	#0019FFFF
TR41739_c1_g2_i7	10	#FF00E6FF
TR30770_c5_g2_i1	2	#00FFB3FF
TR42518_c1_g1_i3	2	#00FFB3FF
TR41878_c1_g2_i5	3	#00FFFFFF
TR43238_c1_g1_i2	2	#00FFB3FF
TR38937_c1_g3_i5	3	#00FFFFFF
TR42847_c1_g3_i2	2	#00FFB3FF
TR29568_c2_g1_i3	6	#0019FFFF
TR34323_c5_g3_i4	8	#8000FFFF
TR33761_c0_g2_i1	3	#00FFFFFF
TR36235_c1_g2_i7	2	#00FFB3FF
TR35000_c0_g1_i2	2	#00FFB3FF
TR38209_c3_g1_i5	10	#FF00E6FF
TR42816_c0_g1_i3	2	#00FFB3FF
TR39467_c3_g2_i5	11	#FF0099FF
TR37842_c0_g1_i3	2	#00FFB3FF
TR42236_c0_g1_i2	2	#00FFB3FF
TR40738_c1_g1_i2	2	#00FFB3FF
TR32890_c1_g2_i2	3	#00FFFFFF
TR36649_c1_g2_i2	1	#00FF66FF
TR42487_c0_g1_i1	2	#00FFB3FF
TR28434_c0_g1_i1	3	#00FFFFFF
TR35016_c2_g1_i4	11	#FF0099FF
TR41114_c0_g3_i3	4	#00B2FFFF
TR38937_c1_g1_i1	6	#0019FFFF
TR35226_c4_g1_i3	2	#00FFB3FF
TR39749_c1_g1_i2	2	#00FFB3FF
TR42798_c0_g1_i2	2	#00FFB3FF
TR43038_c0_g1_i8	7	#3300FFFF
TR34919_c0_g1_i1	2	#00FFB3FF
TR28082_c1_g1_i3	2	#00FFB3FF
TR39528_c0_g1_i2	2	#00FFB3FF
TR34947_c0_g1_i3	12	#FF004DFF
TR41745_c0_g2_i1	2	#00FFB3FF
TR31051_c0_g2_i1	2	#00FFB3FF
TR40381_c2_g3_i3	7	#3300FFFF
TR42513_c1_g1_i7	2	#00FFB3FF
TR36449_c2_g1_i2	1	#00FF66FF
TR42297_c2_g1_i9	2	#00FFB3FF
TR39737_c0_g2_i1	3	#00FFFFFF
TR37735_c4_g2_i10	2	#00FFB3FF
TR42435_c0_g1_i2	2	#00FFB3FF
TR40732_c1_g2_i2	2	#00FFB3FF
TR31492_c0_g1_i3	2	#00FFB3FF
TR40847_c0_g1_i1	3	#00FFFFFF
TR29550_c0_g1_i1	1	#00FF66FF
TR42740_c1_g1_i1	2	#00FFB3FF
TR31794_c0_g1_i3	6	#0019FFFF
TR43164_c1_g1_i2	2	#00FFB3FF
TR26636_c3_g1_i1	10	#FF00E6FF
TR37547_c1_g1_i2	9	#CC00FFFF
TR38353_c3_g1_i3	11	#FF0099FF
TR40986_c1_g1_i9	2	#00FFB3FF
TR40931_c1_g1_i1	10	#FF00E6FF
TR31991_c1_g1_i2	2	#00FFB3FF
TR41679_c0_g1_i2	3	#00FFFFFF
TR37637_c1_g2_i5	7	#3300FFFF
TR40738_c1_g1_i3	2	#00FFB3FF
TR39524_c1_g1_i3	2	#00FFB3FF
TR35853_c1_g1_i4	9	#CC00FFFF
TR35146_c1_g1_i2	9	#CC00FFFF
TR39219_c2_g1_i2	7	#3300FFFF
TR42148_c0_g1_i3	2	#00FFB3FF
TR40164_c0_g3_i6	9	#CC00FFFF
TR39780_c5_g1_i5	3	#00FFFFFF
TR33482_c1_g2_i5	3	#00FFFFFF
TR34217_c4_g1_i5	2	#00FFB3FF
TR31595_c1_g1_i1	7	#3300FFFF
TR40446_c0_g2_i2	2	#00FFB3FF
TR41272_c3_g1_i3	1	#00FF66FF
TR40950_c0_g4_i1	2	#00FFB3FF
TR37035_c4_g1_i5	5	#0066FFFF
TR5947_c0_g1_i1	6	#0019FFFF
TR28415_c0_g2_i1	5	#0066FFFF
TR31169_c1_g2_i1	9	#CC00FFFF
TR38906_c1_g1_i2	2	#00FFB3FF
TR36493_c2_g1_i6	12	#FF004DFF
TR40253_c2_g2_i9	8	#8000FFFF
TR36275_c0_g1_i3	7	#3300FFFF
TR42348_c0_g2_i8	2	#00FFB3FF
TR31878_c0_g2_i2	6	#0019FFFF
TR41330_c0_g6_i1	10	#FF00E6FF
TR39968_c0_g1_i6	3	#00FFFFFF
TR39465_c1_g1_i4	2	#00FFB3FF
TR25121_c0_g1_i1	3	#00FFFFFF
TR32355_c0_g1_i2	6	#0019FFFF
TR32366_c2_g1_i2	5	#0066FFFF
TR41280_c0_g1_i7	10	#FF00E6FF
TR39253_c0_g1_i2	2	#00FFB3FF
TR35215_c1_g1_i12	7	#3300FFFF
TR42260_c0_g1_i5	2	#00FFB3FF
TR41633_c0_g1_i4	2	#00FFB3FF
TR27360_c0_g1_i1	2	#00FFB3FF
TR31137_c4_g2_i1	5	#0066FFFF
TR35146_c1_g1_i5	10	#FF00E6FF
TR41238_c1_g1_i7	2	#00FFB3FF
TR31482_c3_g3_i1	3	#00FFFFFF
TR41418_c0_g1_i3	2	#00FFB3FF
TR14217_c0_g1_i1	6	#0019FFFF
TR33761_c0_g3_i1	3	#00FFFFFF
TR42730_c0_g1_i1	2	#00FFB3FF
TR31510_c1_g1_i6	3	#00FFFFFF
TR35146_c2_g1_i9	7	#3300FFFF
TR24704_c0_g1_i1	3	#00FFFFFF
TR43302_c10_g1_i2	2	#00FFB3FF
TR39394_c3_g2_i3	2	#00FFB3FF
TR35225_c3_g2_i3	9	#CC00FFFF
TR30901_c0_g1_i5	2	#00FFB3FF
TR27201_c0_g1_i1	9	#CC00FFFF
TR29518_c0_g3_i1	12	#FF004DFF
TR34099_c8_g2_i6	7	#3300FFFF
TR43060_c0_g1_i1	2	#00FFB3FF
TR35146_c2_g1_i1	6	#0019FFFF
TR38334_c1_g1_i11	2	#00FFB3FF
TR38167_c5_g3_i1	3	#00FFFFFF
TR41155_c0_g1_i1	10	#FF00E6FF
TR41873_c1_g1_i3	9	#CC00FFFF
TR42414_c4_g1_i2	2	#00FFB3FF
TR35214_c2_g2_i8	3	#00FFFFFF
TR43242_c1_g2_i1	2	#00FFB3FF
TR38156_c0_g4_i3	10	#FF00E6FF
TR37005_c2_g2_i4	5	#0066FFFF
TR39964_c2_g1_i1	2	#00FFB3FF
TR40270_c1_g1_i1	2	#00FFB3FF
TR33649_c1_g3_i2	10	#FF00E6FF
TR37484_c2_g2_i2	7	#3300FFFF
TR36497_c0_g1_i3	7	#3300FFFF
TR36061_c0_g1_i3	6	#0019FFFF
TR37220_c5_g1_i1	6	#0019FFFF
TR37028_c2_g1_i6	2	#00FFB3FF
TR42764_c0_g2_i2	2	#00FFB3FF
TR35507_c1_g7_i2	2	#00FFB3FF
TR39553_c3_g2_i1	7	#3300FFFF
TR25874_c1_g1_i1	2	#00FFB3FF
TR40640_c2_g3_i6	2	#00FFB3FF
TR35066_c0_g1_i8	2	#00FFB3FF
TR37159_c4_g1_i5	8	#8000FFFF
TR42518_c1_g1_i13	2	#00FFB3FF
TR33880_c5_g1_i1	11	#FF0099FF
TR41472_c0_g1_i15	2	#00FFB3FF
TR35546_c0_g1_i2	3	#00FFFFFF
TR41472_c0_g1_i3	2	#00FFB3FF
TR38301_c5_g1_i8	6	#0019FFFF
TR40738_c1_g1_i4	2	#00FFB3FF
TR41536_c1_g2_i3	2	#00FFB3FF
TR38547_c0_g1_i7	2	#00FFB3FF
TR43237_c0_g1_i4	2	#00FFB3FF
TR37314_c6_g1_i2	1	#00FF66FF
TR37793_c2_g1_i2	2	#00FFB3FF
TR27085_c0_g1_i1	3	#00FFFFFF
TR31137_c4_g3_i3	7	#3300FFFF
TR8848_c0_g2_i1	3	#00FFFFFF
TR21123_c0_g1_i1	6	#0019FFFF
TR39180_c7_g1_i3	6	#0019FFFF
TR40427_c3_g3_i4	10	#FF00E6FF
TR39565_c4_g1_i5	2	#00FFB3FF
TR39556_c0_g1_i3	2	#00FFB3FF
TR7740_c0_g1_i1	10	#FF00E6FF
TR37637_c0_g1_i2	6	#0019FFFF
TR34293_c0_g1_i8	2	#00FFB3FF
TR27753_c0_g1_i1	4	#00B2FFFF
TR33384_c0_g2_i6	2	#00FFB3FF
TR36201_c4_g3_i9	6	#0019FFFF
TR43074_c0_g2_i4	2	#00FFB3FF
TR38256_c1_g1_i4	3	#00FFFFFF
TR39456_c3_g2_i3	9	#CC00FFFF
TR39433_c1_g3_i1	6	#0019FFFF
TR32319_c2_g1_i4	10	#FF00E6FF
TR41558_c4_g1_i7	2	#00FFB3FF
TR42640_c0_g1_i2	2	#00FFB3FF
TR42187_c0_g1_i4	1	#00FF66FF
TR32860_c0_g2_i1	3	#00FFFFFF
TR40102_c5_g2_i7	7	#3300FFFF
TR42261_c3_g2_i8	2	#00FFB3FF
TR42236_c0_g1_i7	2	#00FFB3FF
TR36061_c0_g1_i7	2	#00FFB3FF
TR39795_c1_g1_i1	2	#00FFB3FF
TR41547_c0_g2_i7	2	#00FFB3FF
TR36168_c4_g2_i5	9	#CC00FFFF
TR36497_c0_g1_i4	3	#00FFFFFF
TR39055_c0_g3_i1	3	#00FFFFFF
TR42506_c1_g1_i3	2	#00FFB3FF
TR39433_c1_g3_i3	4	#00B2FFFF
TR41198_c1_g2_i4	2	#00FFB3FF
TR37880_c0_g1_i5	2	#00FFB3FF
TR34447_c0_g2_i6	3	#00FFFFFF
TR36201_c4_g3_i2	6	#0019FFFF
TR21619_c4_g1_i1	2	#00FFB3FF
TR24774_c0_g1_i1	9	#CC00FFFF
TR39749_c1_g1_i1	2	#00FFB3FF
TR31989_c0_g1_i1	10	#FF00E6FF
TR37914_c0_g1_i5	6	#0019FFFF
TR39780_c5_g1_i4	6	#0019FFFF
TR28581_c0_g1_i1	2	#00FFB3FF
TR40637_c0_g1_i8	9	#CC00FFFF
TR41937_c2_g3_i9	3	#00FFFFFF
TR36424_c5_g1_i7	7	#3300FFFF
TR36447_c1_g1_i3	2	#00FFB3FF
TR18955_c1_g1_i2	2	#00FFB3FF
TR42187_c0_g1_i5	7	#3300FFFF
TR36207_c0_g2_i1	2	#00FFB3FF
TR41739_c1_g2_i16	7	#3300FFFF
TR43722_c0_g1_i1	7	#3300FFFF
TR42592_c0_g5_i3	2	#00FFB3FF
TR27335_c0_g3_i1	2	#00FFB3FF
TR41219_c4_g1_i1	2	#00FFB3FF
TR38937_c1_g3_i2	3	#00FFFFFF
TR17338_c0_g1_i1	3	#00FFFFFF
TR41558_c4_g1_i10	2	#00FFB3FF
TR38937_c1_g1_i4	6	#0019FFFF
TR42598_c2_g4_i3	2	#00FFB3FF
TR36769_c2_g1_i4	2	#00FFB3FF
TR39524_c1_g1_i8	9	#CC00FFFF
TR42339_c1_g2_i5	2	#00FFB3FF
TR35851_c4_g2_i1	3	#00FFFFFF
TR27069_c0_g1_i2	7	#3300FFFF
TR43196_c3_g3_i5	2	#00FFB3FF
TR41260_c2_g1_i4	2	#00FFB3FF
TR37089_c0_g1_i2	2	#00FFB3FF
TR37584_c3_g1_i4	3	#00FFFFFF
TR37662_c0_g1_i2	2	#00FFB3FF
TR38239_c0_g1_i4	2	#00FFB3FF
TR37869_c3_g2_i2	2	#00FFB3FF
TR42121_c2_g1_i5	2	#00FFB3FF
TR38301_c5_g1_i1	6	#0019FFFF
TR37503_c3_g1_i2	10	#FF00E6FF
TR41647_c2_g5_i2	2	#00FFB3FF
TR42443_c3_g1_i6	2	#00FFB3FF
TR28657_c0_g1_i4	3	#00FFFFFF
TR37878_c5_g1_i1	6	#0019FFFF
TR42983_c3_g1_i4	2	#00FFB3FF
TR24544_c0_g1_i1	6	#0019FFFF
TR42305_c0_g1_i2	2	#00FFB3FF
TR37436_c0_g1_i3	3	#00FFFFFF
TR42901_c0_g1_i2	2	#00FFB3FF
TR41486_c0_g1_i1	2	#00FFB3FF
TR32958_c2_g1_i3	2	#00FFB3FF
TR37744_c1_g2_i1	2	#00FFB3FF
TR36733_c3_g1_i3	2	#00FFB3FF
TR34809_c2_g2_i1	2	#00FFB3FF
TR42348_c0_g2_i6	2	#00FFB3FF
TR41198_c1_g2_i11	2	#00FFB3FF
TR15455_c0_g1_i1	7	#3300FFFF
TR37256_c1_g3_i1	10	#FF00E6FF
TR39139_c4_g2_i1	2	#00FFB3FF
TR39432_c2_g2_i2	4	#00B2FFFF
TR40253_c2_g2_i5	6	#0019FFFF
TR42542_c0_g2_i1	2	#00FFB3FF
TR32796_c0_g1_i5	4	#00B2FFFF
TR41113_c0_g1_i6	2	#00FFB3FF
TR33423_c3_g5_i1	3	#00FFFFFF
TR29379_c1_g1_i2	7	#3300FFFF
TR28261_c0_g1_i5	11	#FF0099FF
TR27611_c1_g1_i1	2	#00FFB3FF
TR41591_c2_g1_i4	2	#00FFB3FF
TR35203_c0_g1_i2	2	#00FFB3FF
TR38292_c6_g3_i1	6	#0019FFFF
TR41537_c1_g1_i3	6	#0019FFFF
TR29397_c0_g1_i1	2	#00FFB3FF
TR27331_c0_g1_i2	7	#3300FFFF
TR31968_c2_g1_i1	10	#FF00E6FF
TR37637_c1_g2_i2	7	#3300FFFF
TR37707_c0_g2_i8	2	#00FFB3FF
TR40446_c0_g2_i1	2	#00FFB3FF
TR33901_c1_g2_i2	4	#00B2FFFF
TR33935_c3_g3_i2	7	#3300FFFF
TR41994_c1_g1_i2	3	#00FFFFFF
TR40537_c1_g1_i6	10	#FF00E6FF
TR37384_c6_g3_i2	2	#00FFB3FF
TR38572_c1_g1_i1	6	#0019FFFF
TR36164_c0_g1_i5	2	#00FFB3FF
TR32591_c2_g7_i4	7	#3300FFFF
TR42237_c2_g3_i6	2	#00FFB3FF
TR31822_c1_g1_i1	6	#0019FFFF
TR31510_c1_g1_i3	3	#00FFFFFF
TR26422_c0_g2_i2	3	#00FFFFFF
TR25125_c0_g1_i2	3	#00FFFFFF
TR33945_c2_g1_i4	10	#FF00E6FF
TR38937_c1_g1_i7	3	#00FFFFFF
TR42313_c5_g1_i6	2	#00FFB3FF
TR35085_c0_g2_i2	2	#00FFB3FF
TR42628_c1_g4_i2	2	#00FFB3FF
TR29550_c0_g2_i2	12	#FF004DFF
TR31991_c1_g1_i4	2	#00FFB3FF
TR31371_c0_g1_i2	2	#00FFB3FF
TR36503_c1_g2_i3	6	#0019FFFF
TR21530_c0_g2_i1	6	#0019FFFF
TR5710_c0_g1_i1	2	#00FFB3FF
TR31679_c0_g1_i2	5	#0066FFFF
TR44332_c0_g1_i1	2	#00FFB3FF
TR39601_c0_g2_i2	2	#00FFB3FF
TR43176_c1_g3_i1	7	#3300FFFF
TR38353_c3_g1_i9	3	#00FFFFFF
TR24199_c1_g3_i3	5	#0066FFFF
TR37159_c4_g1_i6	6	#0019FFFF
TR34257_c2_g4_i2	11	#FF0099FF
TR36133_c2_g3_i1	3	#00FFFFFF
TR41510_c2_g1_i9	2	#00FFB3FF
TR41985_c6_g2_i3	2	#00FFB3FF
TR30187_c1_g2_i3	6	#0019FFFF
TR42234_c1_g1_i3	2	#00FFB3FF
TR38547_c0_g1_i2	2	#00FFB3FF
TR29397_c0_g1_i3	2	#00FFB3FF
TR42939_c0_g1_i1	2	#00FFB3FF
TR42333_c0_g2_i4	2	#00FFB3FF
TR41472_c0_g1_i18	7	#3300FFFF
TR37220_c5_g2_i2	6	#0019FFFF
TR38901_c0_g1_i4	7	#3300FFFF
TR38348_c1_g1_i5	2	#00FFB3FF
