clusters	colors
TR37552_c1_g1_i4	2	#00FFB3FF
TR33065_c0_g1_i3	5	#0066FFFF
TR34660_c2_g1_i6	3	#00FFFFFF
TR42687_c3_g2_i4	2	#00FFB3FF
TR42348_c0_g2_i9	2	#00FFB3FF
TR29200_c1_g1_i4	6	#0019FFFF
TR41937_c2_g3_i13	2	#00FFB3FF
TR42443_c3_g4_i10	2	#00FFB3FF
TR31699_c4_g3_i4	7	#3300FFFF
TR39883_c0_g1_i1	2	#00FFB3FF
TR38568_c3_g1_i3	3	#00FFFFFF
TR30338_c1_g1_i2	2	#00FFB3FF
TR36920_c5_g3_i2	2	#00FFB3FF
TR39618_c0_g2_i3	2	#00FFB3FF
TR37438_c0_g1_i2	2	#00FFB3FF
TR31685_c1_g1_i3	2	#00FFB3FF
TR40209_c8_g1_i5	12	#FF004DFF
TR39495_c0_g1_i7	2	#00FFB3FF
TR32319_c2_g1_i3	1	#00FF66FF
TR43046_c0_g1_i4	2	#00FFB3FF
TR37411_c1_g1_i6	2	#00FFB3FF
TR41739_c1_g2_i2	2	#00FFB3FF
TR38644_c2_g2_i1	1	#00FF66FF
TR24225_c1_g1_i1	8	#8000FFFF
TR34956_c0_g2_i1	4	#00B2FFFF
TR41198_c1_g2_i2	3	#00FFFFFF
TR32909_c5_g3_i3	6	#0019FFFF
TR32915_c0_g1_i2	1	#00FF66FF
TR39073_c2_g2_i8	7	#3300FFFF
TR38523_c2_g2_i1	2	#00FFB3FF
TR14083_c0_g1_i1	6	#0019FFFF
TR41936_c2_g2_i2	2	#00FFB3FF
TR39645_c0_g7_i1	2	#00FFB3FF
TR33699_c0_g1_i2	9	#CC00FFFF
TR41950_c0_g1_i1	2	#00FFB3FF
TR41441_c0_g1_i7	2	#00FFB3FF
TR29872_c0_g2_i2	4	#00B2FFFF
TR42730_c0_g1_i9	2	#00FFB3FF
TR35066_c0_g1_i2	3	#00FFFFFF
TR37159_c4_g1_i1	10	#FF00E6FF
TR36475_c0_g1_i2	2	#00FFB3FF
TR21000_c0_g2_i1	8	#8000FFFF
TR37904_c1_g1_i2	2	#00FFB3FF
TR28540_c0_g2_i3	2	#00FFB3FF
TR41867_c2_g3_i2	2	#00FFB3FF
TR39748_c0_g3_i1	2	#00FFB3FF
TR39968_c0_g1_i4	2	#00FFB3FF
TR39883_c0_g1_i2	2	#00FFB3FF
TR36447_c1_g1_i2	2	#00FFB3FF
TR34930_c3_g2_i1	7	#3300FFFF
